cat,label,review
水果,0,苹果个头比较小，顶多70#果，口感脆是脆，但发硬发哏，甜度超高，适合能接受齁甜的亲，本人只吃了一个，剩下的估计要放烂了算
水果,1,有两个苹果快成苹果干了哈哈哈哈哈
洗发水,1,第一次买清扬樱花味的洗发水，用完确实不错，关键618活动价格更实惠！
水果,1,这次买的苹果超好吃，一个字值了！希望商家生意越来越 大！快递速度真是快京东！
水果,1,还不错的，挺快的。要是便宜点就好了。
衣服,1,裤子质量超级好，给男友买的 他穿上尺码也刚好合适，朋友还问我要链接 说是也要买
平板,1,东西还可以，我的是下单当天发货，但是快递给我卡了好久，七天才收到，618忙可以理解，但是分配错区了这有点坑，但是七天也太久了吧，中间还催过单，第六天跟我说分配错区了
水果,0,原本想着佳农的品牌会好点，收到打开不新鲜，有两个皮都干了，打开以后吃了不甜，失望
平板,0,非常不好用，卡，慢。玩个游戏老是卡出来。本来想虽然只有这么个价钱，但是好歹也是个品牌机，实在是太让人失望了。本来想退货，背面被小孩子弄了一点点划痕，没办法了。
蒙牛,1,一个像三元的口味，一个全是巧克力的味道，都跟不上蒙牛伊利的经典，就是盒子好看~
手机,1,独创来电3D卡通肖像显示系统。增加了趣味性。 嘈杂环境下的超大铃声选择免提功能。 电池耐用。手机按键手感好。 通话质量较好，信号好。
水果,1,苹果吃了，味道好，很脆口，孩子喜欢吃
洗发水,0,我感觉买假了，以前用的洗完头，头特别凉，这个洗完没什么感觉
平板,0,便宜无好货，渣货
衣服,0,假货，连高仿都不是。垃圾中的垃圾。*块钱都不值。明目张胆的卖假货。
衣服,0,非常不满意 坑 .爹的 换货坑.我送货费 一次性买的三件衣服 一起换的货 为啥要付三次的送货费 你有不是分三次来拿货的
热水器,0,好，物流也快，就是安装费花了200，有点贵。
平板,1,东西收到了，很好
平板,0,别的还行。就是玩手游会卡屏。退换申请提交了一直没回呢。
洗发水,1,重要的事情说三遍：挺好。挺好。挺好。
洗发水,0,啥家虎不好不好被哄啦
手机,1,声音比较大，信号也不错，铃声也不少也不错，图片也可以拉.....
酒店,1,感觉也不算５星，还不如协议的好呢．看来只有我们协议稍微满意点
衣服,1,合身。我非常满意。可以推荐给周围朋友。
衣服,1,这个裤子上身效果很棒，穿上很时尚，料子也很好，好评好评好评！！！！！！！下次还会光顾
水果,1,水果很新鲜 物流也很快 家人很喜欢 还会继续购买 很甜 给家人买的
手机,1,"1是性价比高2是功能在同类产品中比较全3是好大的屏幕啊4是一键通是阿尔卡特传统风格继承和发展很好用5是好可爱的外表6是功能全,能上网7能经摔"
蒙牛,1,一瓶酸奶（冠益乳）下肚后，一炮冲天，那个爽啊！必须是发自肚子的多来几炮撒，一炮=2500瓶冠益乳，谢谢蒙牛，谢谢方大特钢对我的支持
水果,0,这个应该是没人要了才会秒杀吧，失败啊
手机,1,1.第一大特色：手写方面对文字的识别率非常高。2.屏幕显示方面：色彩层次鲜明，饱和度、锐度和清晰度都很出色。3.铃声播放方面：清脆透彻、层次清晰，表现力也很出色。4.拍照方面：拍照功能启动迅速，照片色彩比较准确，而且亮度较高，清晰度和对比度处理都相当理想。
水果,1,价廉物美!现在不是时候也能保存这样好满分
平板,0,不满我要退货，，，换一台
书籍,1,原本是想找一本在中学时代阅读的关于两性经典言论集的书，没找到，但找到了周国平的这一本。周国平的妞妞很早之前在各大报刊杂志上看到过介绍，却一直没有找来看过。但是这一本书，我相信值得每一个男人和女人用心阅读。生活需要智慧，两性相处亦然，爱情、婚姻，虽然不是人生的全部，但却毫无疑问是获得人生幸福最重要的部分。每一个人都应该认真对待。这本书，能让每个人收益。
衣服,0,说的是南极人的。可是裤子上没有一个南极人的标志。而且就一个挂标是南极人的。
酒店,0,房间有味道。但接送机方便
计算机,0,"USB口在左边,还就两个,感觉这就是缺点了,别的正在使用中,还没发现"
衣服,0,款式发错了懒得换换差评
洗发水,0,刚买就降价，而且不能申请价格保护！不爽！
水果,0,整箱苹果近一半是伤的，完全和照片上的不附，整箱苹果暗淡，明显的不新鲜，和照片上不是一个品种，虽然赔偿了一小部分，这箱苹果是不敢吃！！！
平板,0,我才买来四五天掉地上屏幕坏了 我申请退回去修 居然给我来个他们哪修不了 给我找个 附近的自己去修 但是给我找了个绍兴市的 但是我在诸暨市啊 真火 在网上买东西真的不靠谱 我以为在京东不会发生这种事 但是……唉
计算机,1,外观设计十分流畅，采用超薄设计，视觉感觉效果很好！触控板有点 IPHONE手机的味道，颜色搭配很酷，很适合美眉使用！
平板,1,华为手机平板太超值了，通话音音质很好，应用程序运行流畅，屏幕大看视频，玩游戏，上网挺快的，非常满意！
平板,1,包装像是被拆开过，机器目前没问题，懒得折腾，相信京东售后，有问题再说，先赞
计算机,0,我去官网下了最新的XP驱动，结果声卡装好了，有声音了，接着装显卡，装完显卡，电脑就没声音了，一共装了四次，第三次才发现显卡驱动和声卡驱动冲突， 然后在官网下了前一个显卡驱动，终于搞定了，没有冲突
手机,1,20号收到蓝色论坛代购寄来的W810i。用了1天半，把用后感说一下。对新购机的起一个参考作用。　1.我选择的是黑色。黑色比较时候男人，连主题一起用黑色，非常酷！后面的摄像头没有机械基构，镜头露再外面，比较容易弄脏。不过，镜头这点脏不会构成取景模糊的。再所说屏幕，这个810的屏还是比较满意的。对比度和亮度笔W800有提高。色彩非常艳丽！只是分辨率只有176*220，仔细看还是看得出像素点。但是，不过已经很满意了(W900的屏幕亮度和对比度不够)。没用过240*320分辨率手机的用户都会满意的。还有一个就是亮度感应，非常好用，外面光线暗了键盘等酒会自动亮起来，反之就暗下去。很好！！2.系统软件。W810的软件大量采用了W900的要素。比如把资源管理器区分为手机和存储卡两部分、软件在线升级、快门声音选择等等，这些都是出自W900手笔。软件速度很快，没有滞后现象。得心应手，连开车发短消息都很方便了。还有，特别是W810的主题模式，随着9格菜单的变换，手机都会震动一下。很爽啊！3.铃声。W810的喇叭其实和W900、W800都是一样的。后面的三个孔只是装饰而已。中频高的铃声MP3都会出现暴音。只要开小半格音量就没事了。所以再选用铃声的时候，本人建议选用品质较好的MIDI铃声，因为索爱的喇叭对高音的还原非常好。个人认为虽然是单喇叭，但是铃声效果比三星D608要好。特别是音量。很有力度。4.摄像头和W800 W900一模一样。就不说了。5.MP3播放效果。和W800 W900一模一样。没什么改进。只是把耳机和转接线换成了黑色而已。不过我要说的是，对我这样的音乐发烧友来说，索爱现在walkman系列的入耳式耳机还是比较低档的。顶多是一个索尼EX51的料。高音和低频处理的都不是很好。换用SONY EX71后，效果马上体现出来了，特别是手动EQ以后。高音马上通透、低音软绵绵的，很是舒服！但是，这个MP3播放功能和专业MP3还是有区别的，至少我能听出来。6.关于智能手机和非智能手机的个人想法。智能手机非常好，可以装这个装那个，加蓝芽GPS还可以实现导航什么的。不过，象我这样手机玩多了，反而不喜欢智能手机了。因为每次都是买来新手机以后兴致很高，软N多的软件。觉得真不错啊，可时间长了，就不去摆弄那些玩意儿了。烦都烦死了，没兴趣去弄那些软件了。其实弄来弄去无非是QQ啊，字典啊，导航啊，游戏啊。智能手机相对来讲体积较大，夏天走路塞口袋不是很舒服。后来想想也就觉得没用了，又要开始换新手机啦
平板,1,看着不错，老婆很喜欢赞一个
平板,0,本来我是很支持华为的，手机也一直用的华为包括我爸妈用的也是都是华为的，但是个东西太让我失望了，买了差不多两个月多，一玩游戏就开始卡的了一卡一卡的那种特别不爽，然后又经常突然断网，玩游戏玩着玩着突然网络就没了过一下又突然满信号我也是呵呵了，别跟我说是信号不好，之前买的荣耀v8到现在也是屏幕不灵，沾一点水就开始崩溃，曾经我也是个华为铁粉，但是从今天起我不会再买一件华为产品
衣服,1,宝见收到了，还没穿，看着挺好的
书籍,0,"虽说搞笑,但并非是学习的好书!至今一直都没有兴趣往下看!"
衣服,0,真的很烂，还会脱线，非常的偏大
洗发水,0,我靠，双十一买的这个水货，挂羊头卖狗肉的正品。一直在用藩婷洗发水，没什么问题，而且觉得挺好用的。没想到第一次在东东上买的洗发水，现在头皮痒的不行，头屑太多了，搞的我上班的时候时不时的抓，让同事看到挺尴尬。现在一瓶还没用完不敢用，只能用来洗衣服了，建议大家别花钱买受罪。
洗发水,0,答应好的给退的，怎么回事？
酒店,0,真想骂人，第一次给差评，房间潮湿，网速极烂，电视只有三个台，被褥异味，这些都算了，插卡取电的地方时常接触不良断电，热水的流速洗手都嫌弃，没法洗澡，不想说了…
衣服,0,衣服收到了，质量不错，颜色无色差
水果,1,多次购买，物美价廉，送货到家省得自己去超市扛，感谢京东小哥送货上门！
平板,1,还好吧！感觉用起来还不错
水果,1,很多次在京东买水果了，新鲜又划算！会一直支持京东！
蒙牛,0,蒙牛换包装了 真郁闷 好丑
酒店,0,下次再也不会住了，房间有味道，床单脏兮兮的，早餐38一位，只能说粗制滥造
计算机,0,USB接口只有2个，太少了点，不能接太多外接设备！表面容易留下污垢！
酒店,1,太原市的酒店，这家算是很不错的。经常住，房间设施很满意，服务嘛，没什么太大感觉。以前都是直接入住，没有预订过。有一次去入住，前台接待小姐很热情地告诉了通过网络订房可以优惠的办法，并帮我这样做了。于是第二次去了，还想这样直接去前台通过网络公司订房，却被当班前台人员拒绝，在我说明了上次的事，他通过电脑查清我确实那天入住过后，还说“不可能不可能”。我认为你可以不为我办理，但不能说客人撒谎。后来得知那是大堂经理，搞得我很生气。。不过因为总去那里住，还是没有影响我后来还喜欢去万狮。
平板,0,话不多数，不值这个价格，请慎重考虑再购买，买了当天晚上就后悔了，配送员服务态度挺好，给配送员服务一万个赞。
平板,0,不咋滴，常断流，连上wifi几分钟都还接不上线。电池不耐用，只用个微信正常聊天，看个新闻，一天加起来也就3小时左右，也用不了两三天。最大烦恼还是常断流，工作常中断。
水果,1,日期新鲜 酸甜适中 送货速度快 比较满意的购物体验
衣服,1,不错，主要是弹力大，老公开车比较喜欢，质量也很好 掉色啥的问题 暂时没有出现
书籍,1,很喜欢沈老先生的文字，温婉，清新，让人看过之后觉得很放松。他的文字温柔的如同细微的雨一样，让人沉醉其中。他的书光凭看是不够的，更多的是需要去想像，这样才够完好。想象出来的情景更加美丽，有一种想去湘西走走的冲动，书中，他和张兆和的书信更是让人为之感慨，老辈人的感情更加炽烈，而且更加含蓄，可见，当时他们有多么的相爱。可以说，他们比我们更懂什么叫爱。总之很喜欢这本书，还有就是这个出版社的书一直印刷很精美，真的是非常的喜欢，有收藏的价值，希望越做越好~~
平板,0,刚买就降价，不开心。。。
酒店,0,1.房间老旧，卫生间淋浴喷头是那种固定在墙上的，很不方便，喷头老化，水乱喷，不能碰，碰了会掉下来；2.前台直接办理的入住488元。住了一晚才发现电梯里贴着扫码官网预订便宜，但扫码后就是无法注册，问酒店，酒店说官网还在调试，活动还没开始！只能继续488！没开始为什么贴在电梯里？后来自己翻了携程，居然价格比前台便宜49元一晚，赶紧携程订了。但酒店坚持前一晚的只能按原价。3.前台办理入住和退房效率极低，态度冷漠; 4.自助早餐的青菜，估计没洗干净，吃了碜牙。
衣服,0,与图片一点都不符，骗子，就是一件普普通通的背心。
衣服,0,裤脚太大，一点都不修身。穿起来好宽松。腰围合适。
衣服,1,宝贝质量不错，款式时尚，做工精细
酒店,0,总台服务态度不好，房间无线网络信号差
洗发水,0,用了一段时间后，感觉头皮又痒头屑又多，下次再也不再网上买了
衣服,0,呢嘛你家衣服真垃圾100块钱就当丢弃了
酒店,1,房间比较小，但非常温馨，设施全面，房间上网需要收费，但在楼道里有免费上网电脑。
洗发水,0,特地用了一段时间才来评价，简直无语了！一个晚上没洗就这样了，而且痒的要死！一家人都这种情况！
平板,1,东西总体还可以，就是抗摔性能有点差。用得是镀了金属的塑料边框，刚开始还以为是全金属机身。
酒店,1,厨卫配备是实在可用的。地理位置不错，在深圳西边新城区，门口附近的便利店、卤水店挺方便。就是房间内装，虽明显优于一般的酒店式公寓，但相对于号称的五星级，还是略显简单、不够大气。
酒店,1,酒店环境和服务都是五星级的，去周围几个五星级酒店逛了一圈作对比，还是觉得万豪好，下次还会选万豪。
计算机,1,2号下单，4号用上了。键盘触感不错！散热也理想！摄像头还好！处理器还算好！外观是暗花的，有些小别致！文字的linux系统，重新f2后改了sata装了xp系统，稍费些劲，随后用自带盘安了一堆小程序。电池还不错。有问题就拨打4007002000客服电话就好了！声卡驱动最好在官网下载安装，否则有可能不能录音！
计算机,1,做工精致.细节处理不错尤其是拉丝控制面板的做工很强.多工能媒体键感觉很好 屏幕比较强.触摸式音量调节键很牛.
衣服,1,衣服很薄，穿在身上不会闷热，凉快
水果,0,以前买过其他家的苹果，都是免运费的，偶尔有坏的，卖家会按一个苹果5.5元赔偿。这次我选择寻真这家，觉得有9块钱的运费，我宁可多出钱，觉得这次不会有坏果出现。结果让我很失望。一共收到22个苹果，有11个有问题。有坏掉的，还有碰伤的。包装也没有其他家的好，只是纸箱子，没有泡沫隔断。让我很无语！！！只有这一次的合作机会了！！
平板,0,很垃圾！明明质量不行还不承认，亏我还来支持国产
平板,0,什么破玩意，有问题就找不到人了，这样吧！那样吧！不行就算了，太差了
洗发水,1,首先京东自营的尽然不给我发票，这个我要吐槽下，实在是太不仔了，这点不如人意，产品跟描述的都一样还行，包装也蛮简单，做好送个礼品什么的，好像自营产品这点做的不足
酒店,0,前台真差，还不如便宜的连锁酒店服务好，脏乱差！
洗发水,1,产品好用，一直在用，就是价格小贵，买回给老妈用，好品质。
洗发水,0,洗完头皮痒，不知道什么情况，是不是假货？或者本身有问题，我和家人用过都觉得痒！
书籍,0,看了几页就扔在一边了，感觉没有评论上说的的那么好，实在不怎么样。
平板,0,说好了送手机保护壳，结果没有，差评！！！！！
洗发水,1,相当的不错，非常值得推荐的商品！真心赞！
水果,1,味道还不错的，闻起来没有苹果味，吃起来好吃
计算机,1,1999抢购的，很超值，做工比较细致，塑料感不是很强，感觉比联想的s10强。
洗发水,1,看着还行，用过很多洗发水，沙宣的应该最适合自己了，家里人也说喜欢！
水果,1,又香又甜又脆，好吃哦下次再来吧
酒店,1,房间很大，但是设施有点旧。最不可接受的健身房的设施被撤掉了，五星级宾馆没有健身房的理由竟然是使用的人少，但你是五星级宾馆啊，提供不了周全的服务算什么啊，不知道管理者怎么想的！！！
衣服,1,还不错吧 没感觉亏 就是物流太慢了
书籍,1,认识这本书，是在当当的首页看到的，不怎么逛论坛，所以之前并不知道有这本书。花了两个晚上的时间，把这本书看完。总的感觉，一气呵成，书里面的角色，有着深刻的八十年代的烙印，是我们这代以及之后的人所无法切身体会的，只能看后感慨，只能当作小说来看，只能是一种休闲。或许，对一部分人有教育意义……很佩服本书的策划，除了正文（已经很好了），基本上能用来做广告的地方均没有浪费，真是太有才了！
酒店,0,带着70岁老人和小孩子，就因为是4星才订的，一订3间。好家伙，房间不隔音不说，淋浴水龙头一碰就掉了，水还不热。订了周四和周六的房，周四住上了，周六居然说没订单。全家提着行李在当地现找宾馆！（别说，大堂副理态度很好！就是说话不管用。）最后住到了当地3星的宾馆，价格便宜，不光服务好，房间也强多了。可真别信什么‘星级’了，太不符合现实情况了。
衣服,0,偏小。黑色的还好，灰色的洗的时候发现两个小洞洞，像是被蟑螂咬的，非常不满........洗过还能换吗？招牌已经剪掉
酒店,0,虽然说是4星级，不过除了大厅感觉够气派以外，其余仅仅只能说一般~~房间里面居然有好多黑色的硬壳小虫，让我们觉得很是恶心阿...当然也有可能因为我们住的是3号楼，是不是有点成旧的关系？早餐虽然是免费的，但是看到票价也要20呢，菜品实在是.....不过门口那部劳斯莱斯幻影倒是的确让人震撼！看得出，老板还是很有实力的！
洗发水,0,京东自营店不是隔日到吗？我的东西六天都没    到
酒店,0,风格就是快捷酒店，不过服务和得到的优秀酒店称号相差好远，我住的是商务大床房，是最靠走廊尽头的单人间，房间异味很浓，灰色的沙发很脏，有好几个破洞，房内的网线是铁通的，但“铁定不通”周围没有商店，以后不会再住了。
洗发水,1,活动时买的比较超值，次日达，包装精美。
计算机,1,显卡，CPU对于主流游戏来说已经够用了；电脑整体做工也还算优良，散热挺好的。
平板,0,差评，刚买还没收到货呢就降了50想退还不行
平板,0,差差差，问客服光叫发图片和维修网点叫送去维修，什么都决绝不了！和描述的不一样！不能分屏反应慢！也没有配送什么东西，别的网店都会送钢化贴膜皮套耳机，他们没有！还不退货！就是物流快！就给个差评
水果,0,邮寄的地址是温州乐清，韵达快递丢单，少了7个苹果，事实描述
洗发水,0,包装太垃圾缠绕膜都没有漏的到处都是其他东西也被污染了 伤心
衣服,1,质量和做工都不错，一直在关注！值得拥有！
酒店,1,服务态度很好，早餐也有进步，性价比非常高。
水果,1,京东自营的苹果，就是好，个大，有甜，有脆，好吃。
平板,0,质量不怎么好，说的是双卡双待实际上是只能带一个卡
平板,0,"要不是有最低评分,连一星都不想给"
水果,1,还不错，本来担心会不好，送到家里打开发现还可以，味道不错，儿子说好吃，感觉比在超市买的好吃，同样价位的，我买了4箱，还是值得推荐的
衣服,0,都是在卖照片 和实物差别很大
衣服,1,裤子质量很好，客服态度不错，快递也很快两三天就到了。
酒店,1,酒店的位置很方便，小套房的房间比较宽敞和舒适，住酒店停车过夜要收费40元。
酒店,0,首先周边比较偏僻，交通不便，出去只能滴滴打车或者走路。酒店内一家中餐厅，价格相对酒店来说基本还算可以。酒店房间空间一般，设备齐全，主要是酒店有车接送机。总体还算可以吧。
酒店,0,在小区里比较难找，找了比较久，酒店设计比较新，服务也不错，附件交通一般，总体来讲，性价比还是不错的，可以再入住
水果,1,第二次买，回来还是新鲜的，上面还有露水珠珠，很新鲜。吃完再买。
水果,0,这个苹果真的太烂了，又小而且是最破的那种，京东自营现在也那么差了
水果,1,苹果很漂亮，送礼蛮显档次。但是说实在的，不算好吃
平板,1,机子到手没几个小时没什么毛病，以后再看。使用体验挺好的，就是不是说有保护膜的么？我没看见。
书籍,0,买回来了，本想自己先看看再给孩子讲的，可是刺鼻的气味已经熏得头疼了，所以就一直放着没敢给孩子看呢！
水果,1,苹果新鲜，没有之前购买的另个牌子的甜脆，这个带酸，不过整体还不错。
洗发水,1,个人感觉不错！卖家很细心买了两套都没有少发！外包装完好！质量没有问题！没有破损！京东速度超快！很满意！给卖家全五星好评！值得推荐给大家……
衣服,0,衣服质量太差劲了
书籍,1,仔细拜读了一下，无论从教学思路上还是语法讲解或是配备的习题答案，都非常全。听力理解，对话练习。特别是一些加点的需要引起老师注意之处，“请不要在此讲授生词，学完“对话”自然就理解生词了。”介绍故事，理解情境，听力目标等。非常详细。是本不可多得的好书。
平板,1,产品质量非常好，送货及时。
热水器,0,安装费太贵了
手机,1,一直用的这只机子，虽然功能不多，但是手机本身应有的功能全有了，我感觉没什么不好。那些加了比如MP3，摄像一类的功能的机子，先不说价格会上去，只说效果，MP3能放多少只歌？效果能赛过MP3机？再说摄像头，效果能跟数码相机的一样？一定不行，而且强把这些东西加进去，也没什么必要，我的原则，专物专用，如果要联合，就来个强强的，不然做的不好还非要做，还不如不做
平板,0,如图，指缝间远物清晰，可断为软件虚化，而商品自称镜头虚化，欺骗消费者。
计算机,1,恩，机器很好看，键盘不错，还送了内胆包和擦巾，提货后马上去附近麦当劳上网，无线上网效果不错，linux图形界面很友好，功能齐全。这款电池好，续航时间长。运行还行，散热量不大，继续测试中~~
酒店,1,我住的行政房，管理不错，行政楼层有单独的前台很方便，房间偏小，沙发布面脏了旧了。行政楼层早餐独立的，但是东西实在太少，品种少，数量也少。
水果,0,目前来看，最好不要在京东上买水果，特别是二三线城市，不能即时的派送，品质真的很差。
衣服,0,"衣服质量差服务差寄给他们，还拒收，就没人管了,。我这边还在帮你核实，核实2天还在核实，稍等下我帮你反馈，滚吧"
书籍,0,故事无聊，人物无力，描写拖沓，可以伴之入睡。
手机,1,电池待机时间长，机身小巧时尚
洗发水,0,假货！超级不满意的购物体验！    明明提交订单时显示赠送吹风机，但是实际没收到！然后第二天醒来，就没了这个界面。
水果,1,很不错，刚吃了一个，甜中带点微酸，是我的菜
平板,0,京东就是不行，才用几天扬声器就坏一个，后面的朋友们，想买谨慎啊！
衣服,0,不怎么样，不好质量
计算机,0,发热比较大，可能是系统没安装好，CPU温度一直在50度以上，电压有时会变为1.3V，不知为什么
酒店,1,酒店房间还不错，服务业周到。可以免洗件衣服。就是和前台价一样
衣服,0,天朝衣服的尺码，还没有秦朝的统一。175的换到185还是有点小。秦朝的东东误差是以mm计算的。
酒店,0,国庆出行到贵州旅游，通过携程预定了该酒店，9月19日预定了10月2日晚三间标间，结果当天晚上11点到店，前台给我说没有查询到我的订单，导致没有标间可以提供给我，经过携程和酒店沟通，酒店前台给我2间大床房和1间标间，而且所有房间不含早。我最初定的房型是每间房含单早而且有50元消费券赠送，由于大家都很累了，遂未再与酒店和携程沟通要求将早餐和消费券补上。但整个入住过程大约花费了我30多分钟，大家都在大堂等待前台给我们房卡，在前台沟通后本打算直接给我3间大床房，由于有一家人带有一个小孩，一张大床实在不便，在我要求下改为两件大床和一间双床....整个过程前台经理和携程的沟通听得出来态度并不好，对于我们这种订单经酒店确认却没有在前台显示给客人所造成的办理入住的不便以及房型改变给客人带来的不便未有丝毫歉意，反倒给我们的感觉是在房间这么紧张的情况下，我们酒店能给你调整出3间房以我预定的价格给我就是对客人的恩惠了......我也是看该酒店在携程的评价很好才这么早预定的，没想到遇上一些问题后该酒店的处理方式和态度实在让人失望...在携程上预订过许多酒店，第一次遇见一个档次较好的酒店服务这么差的....如若顺利入住，就皆大欢喜，如若遇上问题就完全体现了该酒店在处理问题中的强势与傲慢。但愿仅是当天前台人员个人素质问题....还望酒店今后积极改进..
洗发水,0,假货假货假货假货假货！！！
衣服,0,一百五十多一件的牛仔裤竟然严重脱色！好得打开后先试了下水，不然放洗衣机里就整桶衣服染色了，应该是假货
衣服,1,质量不错 版型也好 有点弹力 穿上舒适 很满意
酒店,0,第三天晚上七点回来居然房间没打扫，白天不打扫都干嘛去了，叫人过来催两次才来，整理也是草草了事。。。经常住这里的，这次相当失望??
水果,1,很不错的水果，下次还要买........
计算机,0,1.发现一个亮点，是不是这批机子都是有亮点的啊，看着碍眼。 2.第三方发货速度好慢啊。 3.钢琴漆太不经用了，易花、指纹收集器。 4.用不惯vista，要自己装XP系统，麻烦。
衣服,1,发货家服务很好！物流挺快！宝贝质量不错！尺码大小合适！
衣服,0,不喜欢紧身的，买错了，伤心
衣服,0,手感不错，质量还可以，就是说好的皮带没有送
酒店,1,地理位置优越，服务员态度也相当不错。值得推荐。
洗发水,1,非常非常划算，估计够用一年了
计算机,0,键盘之间的间隙太大了，还不如节省点空间把机子做的更小巧点儿呢
蒙牛,0,太恶心啦！！ 蒙牛的早就不喝了 别拦着我！让我把前年喝的特伦苏吐出来！ 好奶蒙牛造，营养高蛋白
平板,1,第一次用华为平板，真的很惊艳，外形特别漂亮，系统也很流畅，最大的亮点就是音质特别好，推荐使用，而且我买的时候价格十分优惠。
水果,0,火龙果还没有在水果店买的大，就这么点小好意思拿出来卖的。口感偏软，都坏掉了，发酸。
洗发水,1,宝贝收到，618打折买的非常的实惠，非常的满意希望下次还有机会买宝贝
衣服,1,"收到了,质量不错,穿着挺合适的,尺码挺准的,面料手感不错,穿上感觉挺舒服的"
衣服,1,物流很快两三天就到了，因为来过这家店铺很放心，质量很棒穿上感觉很舒服，版型不错，显瘦显腿长，很满意这次购物，有喜欢的赶快入手啊！！
洗发水,1,很好，加上圈很便宜，送货也非常快，上午下单，下午就到了一直用清扬。
蒙牛,0,极度的败类，以前把蒙牛当做民族的骄傲，现在。。。。。唉，所以说当真爆发了战争，别国都不需要真正打，中国自己人都把自己人给打死了 狂妄至极！ 转发微博
